ID,Ring Description,Diamonds shape,Diamond Weights in Carats,Diamond Avg Color,Diamond Avg Clarity,Gems shape if any,Gem Type,Gem Average Clarity,Ring Gross Weight in Grams,Overall Condition,Ring Price,Ring Size
2116.0,"['Diamond', ' Platinum Eternity Bands']","[' Full-cut, Baguette-cut']",[0.75 1.5 ], G-H-I, VS,[],[],,6.0, Very Good,450000.0,0.0
2117.0,"[""Gentleman's Diamond"", ' Gold ']",[' European-cut'],[1.65], J-K-L, VS,[],[],,10.2, Very Good,450000.0,10.0
2118.0,"['Emerald', ' Diamond', ' White Gold ']",[' Full-cut'],[6.17 1.  ], J-K-L, SI,[' Emerald-cut'],[' Emerald'], Good,10.2, Very Good,450000.0,6.0
2119.0,"['Art Deco Diamond', ' Platinum ']","[' Oval-shaped, Full-cut, Single-cut']",[1.7 0.6], G-H-I, SI,[],[],,7.6, Very Good,450000.0,5.0
2120.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Full-cut, Baguette-cut']",[1.05 1.4 ], J-K-L, VS,[],[],,8.0, Very Good,450000.0,5.0
2121.0,"['Spinel', ' Diamond', ' White Gold']",[' full-cut'],[3.16], G-H-I, SI,[],[],,4.81, Very Good,450000.0,6.0
2122.0,"['Art Deco Ruby', ' Diamond', ' Platinum ']",[' Full-cut'],[2.5 0.4], D-E-F, VS,[' Square-shape'],[' Ruby'], Good,11.5, Very Good,450000.0,6.0
2123.0,"['Pink Tourmaline', ' Diamond', ' Gold ']",[' Baguette'],[11.6   0.21], D-E-F, SI,[' Cushion'],[' Tourmaline'],,11.2, Very Good,450000.0,0.0
2124.0,"['Ceylon Sapphire', ' Tsavorite Garnet', ' Diamond', ' White Gold ']",[' Full-cut'],[5.  0.2], G-H-I, SI,"[' Oval, Round', ' Oval']","[' Sapphire, Tsavorite Garnet', ' Natural Sapphire']",,9.3, Very Good,450000.0,6.0
2125.0,"['Diamond', ' Sapphire', ' Platinum ']","[' Round Brilliant, Full']",[1.38 0.92 0.3 ], G-H-I, I,[' Calibré'],[' Sapphire'],,7.2, Very Good,450000.0,7.0
2126.0,"['Black Opal', ' Diamond', ' Platinum ']","[' Marquise, Full']",[6.52 0.81], G-H-I, SI,[' Oval Cabochon'],[' Black Opal'],,8.3, Very Good,450000.0,7.0
2127.0,"['Emerald', ' Diamond', ' Gold ']",[' Full-cut'],[3.65 1.3 ], G-H-I, SI,[' Oval'],[' Emerald'],,6.4, Good,450000.0,5.0
2128.0,"['Diamond', ' Platinum ']","[' Round Brilliant, Single, Baguette']",[1.25 0.5 ], G-H-I, SI,[],[],,9.6, Good,450000.0,0.0
2129.0,"['Tanzanite', ' Diamond', ' White Gold ']",[' Full-cut'],[8.66 1.39], G-H-I, SI,[' Cushion'],[' Tanzanite'],,12.7, Very Good,450000.0,0.0
2130.0,"['Diamond', ' Platinum ']",[' Emerald-cut'],[0.95],,,[],[],,3.0, Good,450000.0,4.0
2131.0,"['Morganite', ' Diamond', ' White Gold ']",[' Full-cut'],[31.87  1.4 ], G-H-I, VS,[' Full-cut'],[' Morganite'],,15.9, Very Good,450000.0,7.0
2132.0,"[""Gentleman's Diamond"", ' Gold ']",[' Mine Cut'],[1.5], G-H-I, VVS,[],[],,10.3, Good,448125.0,7.0
2133.0,"['Diamond', ' Platinum ']",[' European-cut'],[1.7 0.1], J-K-L, I,[],[],,5.0, Good,448125.0,6.0
2134.0,"['Kunzite', ' Diamond', ' Gold ']","[' Full-cut, Baguette-cut']",[42.5   1.3   0.85  2.15], G-H-I, VS,[' Rectangular-shaped'],[' Kunzite'], Fine,26.75, Very Good,448125.0,6.0
2135.0,"['Opal', ' Diamond', ' Gold ']",[' Full-cut'],[9.8  3.85], J-K-L, VS,[' Oval-shaped cabochon'],[' Opal'], Fine,18.6, Very Good,448125.0,7.0
2136.0,"['Tourmaline', ' Diamond', ' Sapphire', ' Tsavorite Garnet', ' Gold ']",[' Full-cut'],[15.2  0.5], J-K-L, I,"[' Oval-shaped, Round-shaped, Round-shaped cabochon']","[' Tourmaline, Sapphire, Tsavorite']", Good,33.95, Very Good,448125.0,0.0
2137.0,"['Peridot', ' Diamond', ' Platinum', ' Gold ']",[' Full-cut'],[18.75  0.9 ], G-H-I, SI,[' Rectangular-shaped'],[' Peridot'], Fine,11.0, Very Good,448125.0,6.0
2138.0,"['Art Deco Diamond', ' Platinum ']","[' European, Marquire & Single-cut']",[1.25 1.75], G-H-I, SI,[],[],,6.06, Very Good,448125.0,6.0
2139.0,"['Sapphire', ' Diamond', ' Gold ']",[' Full-cut'],[6.8  1.28], G-H-I, VS,[' Heart-shaped'],[' Sapphire'], Fine,8.0, Excellent,448125.0,7.0
2140.0,"['Diamond', ' Gold ']",[' Round'],[8.], G-H-I, VS,[],[],,18.56, Very Good,448125.0,0.0
2141.0,"['Diamond', ' Platinum Eternity Band']",[' Round Brilliant-cut'],[3.4], G-H-I, VS,[],[],,5.2, Very Good,448125.0,0.0
2142.0,"['Diamond', ' Platinum ']","[' Pear, Full & Baguette-cut']",[4. 5.], G-H-I, SI,[],[],,23.38, Very Good,448125.0,5.0
2143.0,"['Amethyst', ' Diamond', ' White Gold ']",[' Full-cut'],[19.  2.], G-H-I, SI,[' Oval-shaped'],[' Amethyst'], Fine,14.35, Excellent,448125.0,7.0
2144.0,"['Diamond', ' Gold ']","[' European-cut, Full-cut']",[0.95 1.   0.85 2.8 ], G-H-I, I,[],[],,21.5, Very Good,448125.0,6.0
2145.0,"['Tanzanite', ' Diamond', ' Gold ']",[' Round'],[],,,[],[],,11.0, Very Good,448125.0,7.0
2146.0,"['Ruby', ' Diamond', ' Platinum', ' Gold ']",[' Old European Cut'],[],,,[],[],,2.9,,448125.0,0.0
2147.0,"['Diamond', ' Gold ']","[' Radiant, Full-cut', ' Square Modified Brilliant']",[1.54 1.1  0.3 ], J-K-L, SI,[],[],,19.5, Very Good,437750.0,8.0
2148.0,"['Diamond', ' Platinum ']","[' Pear-shaped, Tapered baguette']",[3.  0.7], J-K-L, SI,[],[],,10.0, Good,437625.0,8.0
2149.0,"['Tourmaline', ' Diamond', ' White Gold ']",[' full-cut'],[59.95  0.55], G-H-I, I,[' Oval'],[' Tourmaline'],,21.3, Good,437500.0,6.0
2150.0,"['Aquamarine', ' Diamond', ' Platinum', ' Gold ']",[' Full-cut'],[21.2   0.64], G-H-I, SI,[' Emerald'],[' Aquamarine'],,16.8, Very Good,437500.0,8.0
2151.0,"['Antique Colored Diamond', ' Diamond', ' Silver-Topped Gold ']","[' European', ' European Brilliant']",[0.65 1.5 ], G-H-I, SI,[],[],,4.7, Good,437500.0,6.0
2152.0,"['Diamond', ' Platinum Eternity Band', ' JB Star']",[' Oval'],[5.23], G-H-I, SI,[],[],,5.4, Very Good,437500.0,0.0
2153.0,"['Diamond', ' Gold ']","[' Baguette-cut', ' Oval']",[1.84 0.35], J-K-L, SI,[],[],,4.4, Good,437500.0,6.0
2154.0,"['Diamond', ' Platinum Eternity Band']",[' marquise'],[4.4], J-K-L, SI,[],[],,10.3, Good,437500.0,0.0
2155.0,"['Diamond', ' Sapphire', ' Platinum', ' Gold ']","[' Full-cut', ' Round Brilliant']",[1.13 1.55], G-H-I, VS,[' Round'],[' Sapphire'],,10.0, Very Good,437500.0,0.0
2156.0,"['Diamond', ' Colored Diamond', ' Gold ']","[' Full-cut', ' Pear']",[1.21 0.95 0.35], G-H-I, SI,[],[],,6.0, Very Good,437500.0,5.0
2157.0,"['Colored Diamond', ' Diamond', ' White Gold ']",[' Full-cut'],[1.  5.2], G-H-I, SI,[],[],,18.7, Very Good,437500.0,0.0
2158.0,"['Diamond', ' Rose Gold Eternity Band']","[' Rose-cut, Full-cut']",[0.7], M+, I,[],[],,5.6, Very Good,437500.0,0.0
