ID,Ring Description,Diamonds shape,Diamond Weights in Carats,Diamond Avg Color,Diamond Avg Clarity,Gems shape if any,Gem Type,Gem Average Clarity,Ring Gross Weight in Grams,Overall Condition,Ring Price,Ring Size
1.0,"['Art Deco Natural Fancy Blue Diamond', ' Diamond', ' Platinum ']","[' Marquise-shaped, Baguette-cut, Full-cut, Single-cut']",[3.5 0.2 0.1], G-H-I, VS,[],[],,3.75, Very Good,165050000.0,5.0
2.0,"['Fancy Vivid Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Trapezoid Brilliant-cut', ' Cut Cornered Rectangular Modified Brilliant']",[25.23  2.5 ], G-H-I, SI,[],[],,15.6, Very Good,97500000.0,5.0
3.0,"['Fancy Light Pink Diamond', ' Colored Diamond', ' Diamond', ' Rose Gold ']","[' Full', ' Cushion']",[10.02  3.  ], G-H-I, SI,[],[],,17.2, Very Good,79500000.0,6.0
4.0,"['Fancy Blue Diamond', ' Diamond', ' Platinum ']","[' Round Brilliant', ' Cushion']",[], J-K-L, SI,[],[],,8.1, Very Good,67500080.0,6.0
5.0,"['Kashmir Sapphire', ' Diamond', ' Platinum ']",[' Baguette-cut'],[11.72  0.9 ], G-H-I, VS,[' Cushion'],"[' Sapphire', ' Sapphire']",,13.8, Very Good,67000000.0,7.0
6.0,"['Fancy Light Pink Diamond', ' Diamond', ' Pink Gold ']",[' Heart-shaped'],[5.07 1.3 ], D-E-F, IF,[],[],,6.0, Excellent,60500000.0,0.0
7.0,"['Kashmir Sapphire', ' Diamond', ' Platinum ']",[' Triangle-cut'],[8.98 1.3 ], D-E-F, VS,[' Cushion-cut'],[' Kashmir Sapphire'], Fine,7.5, Excellent,52750000.0,5.0
8.0,"['Diamond', ' White Gold ']","[' Oval, Tapered Baguette-cut']",[7.82 0.35], D-E-F, VS,[],[],,6.31, Very Good,42500000.0,6.0
9.0,"['Diamond', ' Platinum ']","[' Full-cut', ' Cushion Brilliant']",[5.25 0.24], D-E-F, VS,[],[],,6.8, Very Good,39900000.0,5.0
10.0,"['Diamond', ' Platinum ']",[' Emerald'],[18.4  5. ], J-K-L, VS,[],[],,13.0, Very Good,38837500.0,5.0
11.0,"['Diamond', ' Platinum ']",[' Marquise Brilliant-cut'],[7.43 0.2 ], D-E-F, IF,[],[],,5.4, Excellent,38000000.0,6.0
12.0,"['Fancy Intense Purplish-Pink Diamond', ' Diamond', ' Platinum ']","[' Cushion, Bullet', ' Cushion']",[5.04 0.35], G-H-I, I,[],[],,6.81, Very Good,37250000.0,6.0
13.0,"['Fancy Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Cut-Cornered Rectangular Modified Brilliant, Trapeze-cut']",[18.41  3.05], D-E-F, VVS,[],[],,14.56, Very Good,36500000.0,6.0
14.0,"['Diamond', ' Platinum', ' Gold ']","[' Pear, Tapered Baguette-cut']",[11.3  11.85], G-H-I, VS,[],[],,28.6, Good,36500000.0,4.0
15.0,"['Fancy Light Brownish-Pink Diamond', ' Diamond', ' Platinum ']","[' Marquise, Triangle']",[11.74  1.33  1.26], G-H-I, SI,[],[],,10.5, Very Good,35850000.0,3.0
16.0,"['Fancy Light Yellow Diamond', ' Diamond', ' Gold ']","[' Triangle-shaped', ' Cut-Cornered Rectangular Modified Brilliant']",[22.08  2.2 ],, VS,[],[],,11.5, Very Good,32450000.0,7.0
17.0,"['Colombian Emerald', ' Diamond', ' Platinum ']","[' Marquise-shape, Pear-shape']",[9.95 0.8  0.75], D-E-F, VVS,[' Emerald-cut'],[' Emerald'], Fine,12.8, Excellent,30250000.0,5.0
18.0,"['Diamond', ' Platinum ']","[' Baguette-Cut', ' Pear']",[6.26 0.8 ], G-H-I, VS,[],[],,6.9, Very Good,30000000.0,5.0
19.0,"['Edwardian Fancy Gray-Blue Diamond', ' Diamond', ' Platinum ']","[' Single-cut', ' Circular Brilliant']",[1.36 0.05], G-H-I, SI,[],[],,3.4, Good,27500000.0,5.0
20.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Kite-shaped']",[10.75  0.6 ], G-H-I, VS,[],[],,8.07, Excellent,27500000.0,7.0
21.0,"['Art Deco Fancy Intense Yellow Diamond', ' Sapphire', ' Platinum ']",[' European-cut'],[5.5 1.2],, VVS,[' Shield-cut'],[' Sapphire'], Good,4.98, Very Good,26650000.0,5.0
22.0,"['Kashmir Sapphire', ' Diamond', ' Platinum', ' Gold ']","[' Full-cut, Marquise-cut']",[4.5 1.5 0.5], G-H-I, VS,"[' Square Cushion', ' Square Cushion']","[' Natural Corundum', ' Natural Corundum']",,11.4, Very Good,25000000.0,6.0
23.0,"['Paraiba Tourmaline', ' Diamond', ' Platinum ']",[' Triangle'],[5.39 1.  ], D-E-F, VS,"[' Oval', ' Oval']","[' Paraiba Tourmaline', ' Paraiba Tourmaline']",,8.49, Excellent,25000000.0,6.0
24.0,"['Diamond', ' Platinum ']",[' Emerald-cut'],[6.49 0.8 ], D-E-F, VVS,[],[],,7.06, Excellent,24500000.0,6.0
25.0,"['Diamond', ' Platinum ']",[' Marquise-cut'],[10.95], J-K-L, VS,[],[],,6.9, Very Good,24500000.0,5.0
26.0,"['Diamond', ' Platinum', ' Gold ']",[' Pear'],[11.3  11.88], G-H-I, VS,[],[],,7.18, Good,23900000.0,4.0
27.0,"['Diamond', ' Platinum', ' Gold ']","[' Square Modified Brilliant, Modified Triangular Brilliant']",[10.1   1.26  1.01], G-H-I, SI,[],[],,23.12, Very Good,20900000.0,0.0
28.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Gold ']","[' Full-cut', ' Oval']",[12.75  0.33], G-H-I, VS,[],[],,5.9, Very Good,20625000.0,6.0
29.0,"['Diamond', ' Platinum ']","[' Full-cut', ' Cushion']",[7.24 1.  ], G-H-I, VS,[],[],,6.5, Very Good,20000000.0,5.0
30.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Gold ']","[' Cut-cornered Square Modified Brilliant, Pear-shaped, Full-cut']",[7.05 1.91 2.73],, VS,[],[],,10.33, Excellent,18850000.0,6.0
31.0,"['Diamond', ' Platinum ']",[' Rectangular Modified Brilliant and Triangle-cut'],[10.58  2.  ], G-H-I, SI,[],[],,13.5, Very Good,18500000.0,5.0
32.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Rectangular-Modified Brilliant-cut, Cut Cornet Bullet-cut']",[10.02  0.92], G-H-I, VS,[],[],,9.9, Excellent,17925000.0,6.0
33.0,"['Diamond', ' Platinum ']","[' Round-Cornered Rectangular Modified Brilliant, Tapered Baguette-cut, Baguette-cut, Square-cut']",[15.43  0.6   0.24  0.6  16.87], M+, VS,[],[],,13.75, Very Good,17925000.0,5.0
34.0,"['Kashmir Sapphire', ' Diamond', ' Pink Gold ']",[' Single-cut'],[12.7   0.25], J-K-L, SI,[' Oval Cabochon'],[' Sapphire'],,9.2, Very Good,17500000.0,7.0
35.0,"['Diamond', ' Platinum ']","[' Rectangular Brilliant, Full-cut']",[5.02 0.3 ], D-E-F, VS,[],[],,4.65, Very Good,17300000.0,4.0
36.0,"['Fancy Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']",[' Cut-Cornered Square Modified Brilliant & Shield'],[10.62  1.7 ], M+, IF,[],[],,10.3, Very Good,16730000.0,4.0
37.0,"['Diamond', ' Platinum ']","[' Round, Baguette']",[6.22 0.86 7.42], G-H-I, VS,[],[],,8.25, Excellent,16730000.0,6.0
38.0,"['Colored Diamond', ' Diamond', ' Platinum ']","[' Full-cut', ' Round Brilliant']",[1.25 0.5  1.2 ], G-H-I, VS,[],[],,5.2, Very Good,16250000.0,0.0
39.0,"['Fancy Yellow Diamond', ' Diamond', ' Gold ']","[' Triangle', ' Pear Brilliant']",[10.89  2.35], G-H-I, VS,[],[],,9.8, Very Good,16250000.0,7.0
40.0,"['Diamond', ' Multi-Stone', ' Synthetic Stone', ' Cultured Pearl', ' Platinum ']",[],[],,,[],[],,, Good,16250000.0,0.0
41.0,"['Diamond', ' Platinum ']",[' Half Moon-Cut; Radiant-Cut (GIA #8814470)'],[],,,[],[],,6.9, Stunning !,16132500.0,5.0
42.0,"[""Gentleman's Diamond"", ' Platinum-Topped Gold ']",[' Round brilliant'],[15.25], M+, VS,[],[],,33.7, Very Good,16100000.0,13.0
43.0,"['Diamond', ' Platinum ']","[' Pear, Tapered Baguette-cut']",[6.69 1.2 ], G-H-I, VS,[],[],,9.31, Very Good,15000000.0,0.0
44.0,"['Diamond', ' Platinum', ' Gold ']","[' Brilliant-cut, Full-cuts, Tapered baguette']",[ 8.73  1.15  0.9  11.78], J-K-L, VS,[],[],,18.15, Very Good,14937500.0,5.0
45.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Baguette-cut']",[9.91 0.8 ], J-K-L, SI,[],[],,6.83,,14900000.0,6.0
46.0,"['Fancy Deep Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Pear-shaped, Kite-shaped']",[7.02 0.86], G-H-I, VS,[],[],,10.58, Excellent,14650000.0,6.0
47.0,"['Zambian Emerald', ' Diamond', ' Platinum ']","[' Full, Square-Cut']",[9.41 0.58 0.05], D-E-F, VS,[' Cushion'],[' Emerald'],,7.4, Very Good,13750000.0,5.0
48.0,"['Diamond', ' Gold ']","[' Round brilliant, Radiant', ' Round']",[3.09 0.8 ], D-E-F, VVS,[],[],,9.7, Very Good,13750000.0,7.0
49.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Baguette-cut', ' Emerald-cut']",[8.43 0.35], J-K-L, VS,[],[],,5.4, Very Good,13750000.0,5.0
50.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Trapezoid-shaped, Baguette-cut']",[8.76 0.5  0.1 ], J-K-L, VVS,[],[],,8.4, Very Good,13700000.0,6.0
51.0,"['Diamond', ' Platinum', ' Gold ']","[' Marquise-cut, Full-cut']",[15.16  2.39  2.1 ], G-H-I, I,[],[],,23.9, Very Good,13145000.0,5.0
52.0,"['Diamond', ' Platinum ']","[' Pear-shaped, Baguette']",[11.99 12.74], J-K-L, VS,[],[],,9.3, Very Good,13145000.0,8.0
53.0,"['Natural Fancy Intense Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']",[],[7.57 1.   7.57], D-E-F, VS,[],[],,8.5, Very Good,13145000.0,5.0
54.0,"['Pink Sapphire', ' Diamond', ' Platinum', ' Gold ']",[' Triangle'],[11.43  3.64], D-E-F, VVS,"[' Cushion', ' Cushion']","[' Sapphire', ' Natural Corundum']",,10.36, Very Good,12500000.0,7.0
55.0,"['Fancy Light Yellow Diamond', ' Gold ']",[' Emerald-cut'],[10.28],, VS,[],[],,11.94, Very Good,12000000.0,6.0
56.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Gold ']","[' Round Brilliant, Full-cut']",[2.61 2.12 1.95], G-H-I, VS,[],[],,9.47, Very Good,11875000.0,10.0
57.0,"['Tiffany & Co. Sapphire', ' Diamond', ' Platinum ']",[' Baguette-cut'],[], G-H-I, VS,[' Oval-Shaped'],[' Sapphire'], Fine,, Very Good,11875000.0,4.0
58.0,"['Diamond', ' Platinum Eternity ']","[' full-cut', ' Pear Brilliant']",[5.17 1.75], G-H-I, VS,[],[],,8.3, Very Good,11250000.0,0.0
59.0,"['Diamond', ' Platinum ']","[' Tapered Baguette-cut', ' Emerald-cut']",[10.28  0.4 ], J-K-L, SI,[],[],,7.0, Very Good,11250000.0,6.0
60.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Tapered Baguette-cut']",[5.01 0.8 ], G-H-I, VVS,[],[],,6.99, Excellent,11250000.0,6.0
61.0,"['Diamond', ' Multi-Stone', ' Synthetic Stone', ' Glass', ' Cultured Pearl', ' Platinum', ' Gold', ' Base Metal ']",[],[],,,[],[],,, Good,10625000.0,0.0
62.0,"['Diamond', ' Multi-Stone', ' Synthetic Stone', ' Cultured Pearl', ' Enamel', ' Platinum', ' Gold', ' Base Metal ']",[],[],,,[],[],,, Good,10625000.0,0.0
63.0,"['Diamond', ' Platinum ']","[' Marquise-cut, Triangle-cut']",[4.26 0.9  5.16], D-E-F, IF,[],[],,7.1, Excellent,10450000.0,5.0
64.0,"['Fancy Deep Brownish-Yellow Diamond', ' Diamond', ' Platinum ']",[' Marquise-cut'],[11.85  6.25 18.1 ], G-H-I, VS,[],[],,31.2, Very Good,10157500.0,5.0
65.0,"['Diamond', ' Platinum ']",[' Lucida-cut'],[5.6], G-H-I, VVS,[],[],,12.0, Very Good,10157500.0,7.0
66.0,"['Ceylon Color-Change Sapphire', ' Diamond', ' Gold ']",[' square step-cut'],[28.09  3.71], G-H-I, VS,"[' cushion', ' Cushion']","[' Sapphire', ' Natural Corundum, Color-Change Sapphire']",,31.22, Very Good,10000000.0,0.0
67.0,"['Diamond', ' Platinum ']","[' Emerald-cut', ' Emerald-cut', ' Emerald-cut']",[5.39 1.8  1.68],,,[],[],,12.2, Very Good,10000000.0,6.0
68.0,"['Ceylon Sapphire', ' Platinum ']",[],[28.45],,,[' Square Cushion'],[' Natural Corundum'],,17.6, Very Good,10000000.0,7.0
69.0,"['Diamond', ' Multi-Stone', ' Synthetic Stone', ' Cultured Pearl', ' Platinum', ' Palladium', ' Gold ']",[],[],,,[],[],,, Good,10000000.0,0.0
70.0,"['Fancy Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Rectangular Brilliant-cut, Shield-cut']",[5.02 0.83], G-H-I, VS,[],[],,8.37, Very Good,10000000.0,6.0
71.0,"['Colombian Emerald', ' Diamond', ' Gold ']",[' Triangle'],[16.7  2.5], G-H-I, VS,[' Square Emerald-cut'],[' Emerald'], Good,11.69, Very Good,10000000.0,7.0
72.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Tapered Baguette-cut']",[5.19 0.8 ], G-H-I, VVS,[],[],,8.91, Very Good,10000000.0,6.0
73.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Tapered Baguette-cut']",[6.3 0.4 6.7], J-K-L, SI,[],[],,6.56, Very Good,9858750.0,7.0
74.0,"['Art Deco Diamond', ' Platinum ']","[' Marquise-cut, Baguette-cut']",[3.01], D-E-F, IF,[],[],,3.41, Very Good,9850000.0,5.0
75.0,"['Ruby', ' Diamond', ' Platinum ']","[' Marquise-shape, Pear-shape']",[9.81 1.   1.  ], D-E-F, VVS,[' Cushion-cut'],[' Ruby'], Fine,10.9, Excellent,9850000.0,4.0
76.0,"['Diamond', ' White Gold ']","[' Marquise-cut, Tapered Baguette-cut']",[4.47 0.4 ], D-E-F, VVS,[],[],,5.57, Excellent,9550000.0,4.0
77.0,"['Diamond', ' Platinum', ' White Gold ']","[' Tapered Baguette', ' Modified Pear Brilliant']",[6.  0.6], G-H-I, VS,[],[],,7.7, Very Good,9375000.0,0.0
78.0,"['Diamond', ' Platinum ']","[' Tapered Baguette', ' Round Brilliant']",[5.18 0.4 ], G-H-I, VS,[],[],,7.6, Very Good,9375000.0,5.0
79.0,"['Fancy Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Triangle', ' Oval Modified Brilliant']",[10.45  1.  ], G-H-I, VS,[],[],,9.2, Very Good,9375000.0,6.0
80.0,"['Diamond', ' Platinum ']","[' Radiant-Cut, Full-Cut, Baguette-Cut', ' Cut-Cornered Rectangular Modified Brilliant']",[10.17  0.8   2.1 ], J-K-L, SI,[],[],,17.3, Very Good,9375000.0,0.0
81.0,"[""Gentleman's Diamond"", ' Gold ']",[' Round Brilliant'],[11.02], M+, VS,[],[],,22.69, Very Good,9375000.0,9.0
82.0,"['Diamond', ' Platinum ']",[' European-cut'],[3.7], G-H-I, SI,[],[],,5.47, Very Good,9375000.0,7.0
83.0,"['Colored Diamond', ' Diamond', ' Gold ']","[' Pear-shaped, Baguette-cut']",[4.23 4.64 1.2 ], G-H-I, VS,[],[],,27.85, Very Good,9250000.0,3.0
84.0,"['Diamond', ' Platinum ']",[' Pear-shaped'],[8.1 0.6], J-K-L, VS,[],[],,9.25, Very Good,9250000.0,0.0
85.0,"['Diamond', ' Platinum ']","[' Radiant-cut, Trillion-cut']",[5.56 1.68 1.   8.24], G-H-I, VS,[],[],,19.15, Very Good,9250000.0,6.0
86.0,"['Diamond', ' Platinum ']","[' Triangle', ' Marquise']",[8.36 1.85], G-H-I, SI,[],[],,13.4, Good,9062500.0,0.0
87.0,"['Diamond', ' Platinum ']",[' Marquise-cut'],[7.81], G-H-I, VS,[],[],,5.7, Excellent,8962500.0,8.0
88.0,"['Diamond', ' Platinum', ' Gold ']",[' Round Brilliant-cut'],[10.44], M+, SI,[],[],,8.75, Very Good,8962500.0,6.0
89.0,"['Diamond', ' Platinum ']","[' Pear, Baguette']",[11.59 12.23], J-K-L, SI,[],[],,11.58, Very Good,8962500.0,0.0
90.0,"['Diamond', ' Fancy Yellow Diamond', ' Platinum', ' Gold ']",[' Cut-Cornered Rectangular Modified Briliant'],[5.07 1.5 ], G-H-I, VS,[],[],,8.35, Excellent,8962500.0,7.0
91.0,"['Diamond', ' Platinum ']","[' Trapeze-cut', ' Emerald-cut']",[4.13 0.6 ], G-H-I, VS,[],[],,12.4, Very Good,8750000.0,6.0
92.0,"['Pink Sapphire', ' Diamond', ' Platinum ']","[' Oval, Baguette-cut']",[11.45  1.6   2.3 ], D-E-F, VVS,"[' Cushion', ' Cushion']","[' Sapphire', ' Corundum']",,13.7, Very Good,8750000.0,6.0
93.0,"['Diamond', ' Multi-Stone', ' Synthetic Stone', ' Cultured Pearl', ' Enamel', ' Gold', ' Mixed Metal ']",[],[],,,[],[],,, Good,8125000.0,0.0
94.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Tapered Baguette-cut']",[9.57 0.3 ], M+, VVS,[],[],,7.99, Very Good,8125000.0,6.0
95.0,"['Fancy Brownish-Yellow Diamond', ' Gold ']","[' Cushion Modified Brilliant-cut, Full-cut']",[], G-H-I, SI,[],[],,, Excellent,8125000.0,6.0
96.0,"['Diamond', ' White Gold ']",[' Emerald-cut'],[9.22], G-H-I, VVS,[],[],,6.17,,8125000.0,5.0
97.0,"[""Gentleman's Diamond"", ' Gold ']",[' Brilliant-cut'],[8.23], M+, VS,[],[],,29.4, Very Good,8066250.0,9.0
98.0,"['Diamond', ' Platinum ']","[' Full-cut', ' Modified Triangular Brilliant', ' Modified Triangular Brillant', ' Round Brilliant']",[5.77 1.7  1.7  4.3 ], G-H-I, VS,[],[],,26.6, Good,7812500.0,0.0
99.0,"['Colombian Emerald', ' Diamond', ' Platinum', ' Gold ']",[' Triangle Brilliant-cut'],[13.3  4. ], G-H-I, VS,[' Rectangular Step-cut'],[' Emerald'], Fine,13.6, Very Good,7812500.0,7.0
100.0,"['Diamond', ' Gold ']",[' European-cut'],[7.9], M+, SI,[],[],,5.0, Very Good,7767500.0,6.0
101.0,"['Diamond', ' Platinum ']","[' Pear, Tapered Baguette']",[11.03 11.79], J-K-L, I,[],[],,7.18, Very Good,7767500.0,5.0
102.0,"['Diamond', ' Gold ']","[' Round Brilliant-cut, Full-cut', ' Round Brilliant']",[3.01 0.7 ], D-E-F, VS,[],[],,6.4, Very Good,7750000.0,0.0
103.0,"['Diamond', ' Platinum ']","[' Radiant-cut, Full-cut, Marquise-cut, Tapered Baguette-cut']",[ 6.22  1.4   1.4   1.3  10.32], G-H-I, SI,[],[],,20.7, Very Good,7750000.0,8.0
104.0,"['Diamond', ' White Gold ']","[' Round Brilliant', ' Round Brilliant']",[6.01 0.86], G-H-I, VS,[],[],,6.19, Very Good,7500000.0,6.0
105.0,"['Emerald', ' Diamond', ' Platinum', ' Gold ']",[' Full-cut'],[9.97 2.  ], G-H-I, VS,[' Rectangle Emerald Cut'],[' Natural Beryl'],,9.0, Very Good,7500000.0,5.0
106.0,"['Diamond', ' Platinum ']","[' Triangle-shaped', ' Emerald Cut']",[11.1  0.7], G-H-I, VS,[],[],,9.9, Very Good,7500000.0,5.0
107.0,"['Diamond', ' Gold ']","[' Round Brilliant-cut', ' Round Brilliant']",[5.   2.15 0.95 8.1 ], D-E-F, SI,[],[],,14.6, Very Good,7500000.0,5.0
108.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Tapered Baguette-cut', ' Round Brilliant']",[5.  0.7], D-E-F, SI,[],[],,5.8, Very Good,7500000.0,8.0
109.0,"['Colombian Emerald', ' Diamond', ' Platinum', ' Gold ']",[' Tapered Baguette-cut'],[8.3 1.4], D-E-F, VS,"[' Emerald-cut', ' Emerald-cut']","[' Emerald', ' Emerald']",,11.41, Very Good,7500000.0,5.0
110.0,"[""Gentleman's Diamond"", ' Gold ']",[' round brilliant'],[8.23], M+, VS,[],[],,29.4, Very Good,7500000.0,9.0
111.0,"['Sapphire', ' Diamond', ' Platinum ']","[' Marquise-shaped, Pear-shaped']",[16.11  0.83  2.44], D-E-F, VS,[' Cushion-shaped'],[' Sapphire'], Fine,14.45, Excellent,7450000.0,6.0
112.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Full-cut']",[ 8.13  2.2  10.33], M+, VVS,[],[],,18.59, Very Good,7450000.0,6.0
113.0,"['Fancy Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Oval-cut, Half-Moon-cut, Full-cut']",[6.02 0.7  0.65 7.37], D-E-F, VS,[],[],,13.6, Very Good,7450000.0,4.0
114.0,"['Fancy Yellow Diamond', ' Diamond', ' Gold ']","[' Oval Modified Brilliant-cut, Full-cut']",[6.36 3.  ], G-H-I, VS,[],[],,10.33, Very Good,7187500.0,6.0
115.0,"['Diamond', ' Platinum ']",[],[],,,[],[],,6.9, Very Good,7170000.0,8.0
116.0,"['Colored Diamond', ' Diamond', ' Platinum', ' ']",[' Pear'],[],,,[],[],,5.5,,7170000.0,0.0
117.0,"['Diamond', ' Gold ']","[' Baguette-cut', ' Marquise']",[5.02 1.25], G-H-I, SI,[],[],,13.4, Very Good,6875000.0,3.0
118.0,"['Diamond', ' White Gold ']","[' Cut-Cornered Rectangular Modified Brilliant-cut', ' Cut-Cornered Rectangular Modified Brilliant']",[8.22 2.05], J-K-L, VS,[],[],,12.8, Very Good,6875000.0,7.0
119.0,"['Diamond', ' Platinum ']","[' Emerald, Half-Moon']",[4.21 1.  ], D-E-F, VS,[],[],,7.72, Very Good,6875000.0,5.0
120.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Full-cut']",[5.12 0.6 ], G-H-I, SI,[],[],,5.8, Very Good,6850000.0,0.0
121.0,"['Kashmir Sapphire', ' Diamond', ' White Gold ']",[' Oval-cut'],[4.86 2.  ], D-E-F, VS,[' Round-shape'],[' Sapphire'], Good,5.7, Very Good,6850000.0,6.0
122.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Full-cut', ' Round Brilliant-cut']",[3.04 0.4 ], G-H-I, VS,[],[],,5.4, Very Good,6800000.0,5.0
123.0,"['Burma Sapphire', ' Diamond', ' Platinum', ' Gold ']",[' Half-moon-shaped'],[7.98 0.9 ], G-H-I, VS,[],[' Sapphire'],,5.42, Very Good,6600000.0,6.0
124.0,"['Padparadscha Sapphire', ' Diamond', ' Gold ']","[' Full-cut, Tapered Baguette-cut']",[13.16  1.5   1.3   2.8 ], G-H-I, VS,[' Cushion-shaped'],[' Padparadscha Sapphire'], Fine,11.1, Excellent,6572500.0,6.0
125.0,"['Diamond', ' Platinum ']",[' Pear'],[4.59],,,[],[],,9.2, Good,6250000.0,5.0
126.0,"['Fancy Green-Blue Diamond', ' Colored Diamond', ' Platinum', ' Rose Gold ']","[' Full-cut', ' Cushion Modified Brilliant']",[2.01 0.14],, SI,[],[],,4.5, Very Good,6250000.0,5.0
127.0,"['Diamond', ' White Gold ']","[' Square Modified Brilliant-cut', ' Square Modified Brilliant']",[4.03], D-E-F, VS,[],[],,3.83,,6250000.0,6.0
128.0,"['Diamond', ' Gold ']",[' Marquise'],[8.04 1.8 ], J-K-L, SI,[],[],,12.04, Good,6250000.0,0.0
129.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Tapered Baguette-cut']",[4.65 0.4 ], G-H-I, SI,[],[],,6.48, Very Good,6250000.0,7.0
130.0,"['Diamond', ' Platinum ']","[' Round Brilliant-cut, Baguette-cut']",[7.84 1.55 9.35], G-H-I, VS,[],[],,8.9, Very Good,6250000.0,0.0
131.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Radiant-cut, Full-cut']",[7.04 0.92], G-H-I, VS,[],[],,9.7, Very Good,6250000.0,5.0
132.0,"['Diamond', ' Platinum', ' Gold ']","[' European-cut, Full-cut, Single-cut']",[7.1 7.2], M+, VS,[],[],,6.84, Very Good,6250000.0,8.0
133.0,"['Diamond', ' Platinum ']","[' European-cut, Baguette-cut']",[6.54 0.35], G-H-I, VS,[],[],,4.03, Very Good,6250000.0,6.0
134.0,"['Fancy Pink Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Radiant-cut, Kite-shape, Full-cut']",[1.62 1.   0.35 0.25 3.22], D-E-F, VS,[],[],,11.4, Excellent,6250000.0,5.0
135.0,"['Colored Diamond', ' Gold ']","[' Square-cut, Full-cut']",[6.05 1.65 7.7 ],, VS,[],[],,16.1, Very Good,6250000.0,4.0
136.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Radiant-cut, Full-cut']",[7.04 0.92], G-H-I, VS,[],[],,9.7, Very Good,6050000.0,5.0
137.0,"['Diamond', ' Platinum', ' Gold ']","[' tapered baguette', ' Pear']",[5.14 0.65], G-H-I, VS,[],[],,8.8, Very Good,6000000.0,7.0
138.0,"['Padparadscha Sapphire', ' Diamond', ' Gold ']","[' Marquise-cut, Baguette-cut']",[9.89 0.9  0.8  1.7 ], G-H-I, VS,[' Oval-shaped'],[' Padparadscha Sapphire'], Fine,9.1, Excellent,5975000.0,6.0
139.0,"['Diamond', ' Platinum ']","[' Round, Full-Cut']",[],,,[],[],,14.0, Very Good,5975000.0,7.0
140.0,"['Fancy Colored Diamond', ' Diamond', ' Platinum ']",[' Pear Modified Brilliant-cut'],[9.58 2.  ], G-H-I, SI,[],[],,17.71, Very Good,5937500.0,5.0
141.0,"['Diamond', ' Platinum ']","[' round brilliant, full-cut and marquise-cut']",[6.22 6.5 ], J-K-L, SI,[],[],,10.3, Very Good,5937500.0,6.0
142.0,"['Fancy Brown-Yellow Diamond', ' Diamond', ' Gold ']","[' Marquise-shaped, Tapered Baguette-cut, Full-cut']",[9.98 4.75], G-H-I, SI,[],[],,20.25, Very Good,5937500.0,7.0
143.0,"['Diamond', ' Platinum ']","[' Full-cut', ' Oval']",[4.05 0.5 ], G-H-I, VS,[],[],,14.0, Good,5750000.0,6.0
144.0,"['Ceylon Sapphire', ' Diamond', ' Platinum ']",[' Full-cut'],[19.55  1.34], G-H-I, VS,"[' Oval-shaped', ' Oval']",[' Sapphire'],,18.6, Very Good,5750000.0,0.0
145.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Trapeze-cut']",[4.13 1.2 ], G-H-I, VS,[],[],,7.48, Very Good,5750000.0,4.0
146.0,"['Fancy Light Greenish Blue Diamond', ' Colored Diamond', ' Diamond', ' Platinum', ' Rose Gold ']","[' Full, Triangular', ' Rectangular Brilliant']",[1.4  0.64 0.19 0.2 ], G-H-I, VS,[],[],,4.0, Very Good,5700000.0,6.0
147.0,"['Diamond', ' White Gold ']",[' Round Brilliant-cut'],[3.05], D-E-F, VS,[],[],,3.6, Very Good,5700000.0,6.0
148.0,"['Diamond', ' Platinum', ' White Gold ']",[' Round Brilliant-cut'],[4.], J-K-L, VS,[],[],,5.7, Excellent,5676250.0,8.0
